No,Name,Year,Team,Position,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SAC,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR,WPA,Salary
114,장순재,1997,한,,5,13,13,1,4,0,0,1,7,2,0,0,0,0,0,4,0,0,0,.308,.308,.538,.846,.374,134.9,0.12,,"1,800"
117,김갑중,1997,현,CF,58,118,101,14,26,4,0,1,33,15,1,3,6,3,0,14,6,7,1,.257,.315,.327,.642,.283,71.6,0.10,,"2,400"
118,김영진,1997,삼,C,76,180,156,17,26,4,3,3,45,14,0,3,15,4,0,34,2,5,0,.167,.257,.288,.546,.249,50.3,0.09,,"3,000"
119,최형현,1997,L,C,3,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,.933,535.4,0.08,,"1,500"
122,김대헌,1997,한,,10,16,16,1,5,0,1,0,7,1,0,1,0,0,0,3,0,0,0,.313,.313,.438,.750,.336,108.4,0.06,,"2,100"
125,손차훈,1997,현,3B,38,109,90,11,20,4,0,1,27,14,0,0,8,3,0,13,2,7,1,.222,.304,.300,.604,.268,61.2,0.05,,"3,200"
126,김재걸,1997,삼,SS,30,19,17,7,3,1,0,1,7,2,1,0,1,0,0,5,1,0,1,.176,.211,.412,.622,.264,60.1,0.05,,"4,875"
129,조승현,1997,현,SS,14,20,18,0,4,1,0,0,5,2,0,0,0,2,0,6,2,0,0,.222,.300,.278,.578,.279,69.2,0.04,,"2,000"
130,최만호,1997,현,RF,87,255,223,33,53,11,0,3,73,16,10,5,16,5,2,65,1,9,2,.238,.301,.327,.628,.279,69.0,0.04,,"2,000"
131,전봉석,1997,롯,C,17,12,10,1,2,0,0,0,2,0,0,0,2,0,0,5,0,0,0,.200,.333,.200,.533,.274,66.3,0.03,,"2,200"
132,이영주,1997,롯,,8,10,7,1,1,0,0,0,1,1,0,0,3,0,0,1,0,0,0,.143,.400,.143,.543,.306,88.3,0.03,,"2,000"
133,강신창,1997,O,,6,4,4,1,2,0,0,0,2,1,0,1,0,0,0,1,0,0,0,.500,.500,.500,1.000,.467,201.7,0.03,,"1,800"
134,신진수,1997,한,,39,63,54,7,12,1,0,1,16,6,2,0,6,0,1,9,2,2,1,.222,.295,.296,.591,.262,57.9,0.03,,"1,900"
135,노상진,1997,한,,2,4,4,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,.250,.250,.500,.750,.326,101.9,0.02,,"1,800"
137,소상영,1997,O,,16,36,28,2,4,2,0,1,9,2,0,0,4,2,0,6,1,1,1,.143,.286,.321,.607,.276,66.1,0.02,,"2,200"
139,심광호,1997,한,C,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000,.000,,0.01,,"1,700"
141,전종화,1997,L,C,7,7,7,0,2,0,0,0,2,0,0,0,0,0,0,3,1,0,0,.286,.286,.286,.571,.267,59.3,0.01,,"2,900"
142,최희창,1997,해,,7,11,11,1,2,0,0,1,5,1,0,0,0,0,0,5,0,0,0,.182,.182,.455,.636,.273,65.4,0.01,,"1,800"
143,김훈,1997,삼,,9,13,12,1,3,0,0,0,3,0,0,0,1,0,0,6,0,0,0,.250,.308,.250,.558,.270,64.1,0.01,,"2,300"
144,한용덕,1997,한,P,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.01,,"7,600"
,김태한,1997,삼,P,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.01,,"8,000"
,이상훈,1997,삼,P,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.01,,"4,000"
148,최승우,1997,삼,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"2,000"
150,이동욱,1997,해,,2,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,.000,.333,.000,.333,.247,47.8,-0.01,,"1,400"
151,이계성,1997,삼,,2,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.000,.333,.000,.333,.237,41.7,-0.01,,"2,000"
153,김현민,1997,쌍,1B,47,74,69,6,16,3,1,1,24,7,1,0,3,1,0,18,0,0,1,.232,.270,.348,.618,.281,70.3,-0.02,,"2,400"
157,김성태,1997,현,C,8,4,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.000,.250,.000,.250,.177,-1.6,-0.02,,"2,000"
159,김도균,1997,O,,9,8,8,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,.250,.250,.250,.500,.233,35.8,-0.02,,"2,000"
161,조현,1997,해,RF,36,69,60,8,12,3,0,1,18,4,0,0,8,0,0,14,3,1,0,.200,.294,.300,.594,.277,68.4,-0.03,,"3,500"
162,강인권,1997,한,C,84,134,108,8,20,1,0,0,21,6,0,3,14,6,0,22,1,6,0,.185,.313,.194,.507,.249,49.1,-0.03,,"2,400"
165,이득수,1997,현,,2,5,5,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,.200,.200,.200,.400,.187,4.8,-0.03,,"2,000"
168,김형성,1997,해,,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,-120.4,-0.04,,"1,500"
169,박계원,1997,롯,2B,51,114,101,9,22,4,0,0,26,8,2,3,8,3,0,24,0,1,1,.218,.292,.257,.550,.262,58.6,-0.04,,"3,000"
170,조규제,1997,쌍,P,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,-123.7,-0.04,,"8,000"
173,장성국,1997,삼,C,7,8,8,0,1,1,0,0,2,0,0,0,0,0,0,3,0,0,0,.125,.125,.250,.375,.163,-7.4,-0.05,,"2,000"
174,고기성,1997,한,,8,6,6,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.167,.167,.167,.333,.156,-15.3,-0.05,,"2,300"
175,전형도,1997,O,,75,44,34,20,6,3,0,0,9,2,8,4,6,0,0,4,1,4,0,.176,.300,.265,.565,.249,47.3,-0.06,,"3,000"
176,조규철,1997,롯,,40,56,54,7,12,0,0,1,15,4,3,1,2,0,0,15,2,0,0,.222,.250,.278,.528,.246,47.2,-0.06,,"2,440"
177,김정민,1997,L,C,7,18,18,0,4,0,0,0,4,0,0,0,0,0,0,3,0,0,0,.222,.222,.222,.444,.207,17.0,-0.06,,"3,300"
179,임창용,1997,해,P,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000,.000,-120.4,-0.07,,"3,200"
180,김종석,1997,O,1B,5,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.000,.200,.000,.200,.142,-29.2,-0.07,,"6,200"
